Date,Region 1,Region 2 North,Region 2 South,Region 3,Region 5,Region 6,Region 7,Region 8,Unknown,Grand Total
"MARCH 1, 2020",0,3,5,3,0,1,0,0,0,12
"MARCH 2, 2020",1,1,7,0,0,1,0,0,0,10
"MARCH 3, 2020",1,10,3,3,0,0,1,0,0,18
"MARCH 4, 2020",2,11,7,0,0,3,0,0,0,23
"MARCH 5, 2020",1,8,15,1,0,1,0,0,0,26
"MARCH 6, 2020",0,10,18,2,1,3,0,0,0,34
"MARCH 7, 2020",0,20,17,2,1,1,1,0,0,42
"MARCH 8, 2020",2,18,27,4,0,3,0,0,0,54
"MARCH 9, 2020",4,47,52,8,0,3,0,0,0,114
"MARCH 10, 2020",7,44,74,8,2,3,0,0,1,139
"MARCH 11, 2020",9,71,80,4,1,3,2,1,0,171
"MARCH 12, 2020",11,98,113,9,6,2,4,0,0,243
"MARCH 13, 2020",16,132,123,21,7,7,2,0,0,308
"MARCH 14, 2020",19,124,144,15,5,3,4,0,0,314
"MARCH 15, 2020",15,166,171,24,4,9,5,1,1,396
"MARCH 16, 2020",40,207,271,39,12,8,4,0,2,583
"MARCH 17, 2020",31,268,245,47,7,16,2,3,1,620
"MARCH 18, 2020",32,270,313,31,12,15,8,4,1,686
"MARCH 19, 2020",25,269,278,30,3,11,4,3,0,623
"MARCH 20, 2020",31,309,380,55,12,14,8,5,2,816
"MARCH 21, 2020",16,257,314,48,12,10,8,1,0,666
"MARCH 22, 2020",34,282,294,54,12,12,9,1,2,700
"MARCH 23, 2020",59,418,387,71,17,12,8,1,0,973
"MARCH 24, 2020",42,338,385,69,18,14,7,3,0,876
"MARCH 25, 2020",55,321,422,54,17,20,6,1,2,898
"MARCH 26, 2020",55,336,496,68,17,16,12,2,0,1002
"MARCH 27, 2020",62,371,651,71,35,19,10,1,3,1223
"MARCH 28, 2020",37,297,493,54,21,24,7,5,1,939
"MARCH 29, 2020",51,308,465,57,18,14,3,3,2,921
"MARCH 30, 2020",55,457,670,85,18,39,8,2,0,1334
"MARCH 31, 2020",53,452,550,70,33,27,4,5,2,1196
"APRIL 1, 2020",81,478,614,86,38,30,5,1,0,1333
"APRIL 2, 2020",55,419,576,69,27,23,8,0,2,1179
"APRIL 3, 2020",62,432,639,72,29,35,8,1,3,1281
"APRIL 4, 2020",47,331,579,65,26,27,10,4,3,1092
"APRIL 5, 2020",38,386,531,67,25,35,1,2,0,1085
"APRIL 6, 2020",68,369,695,100,40,44,9,2,1,1328
"APRIL 7, 2020",53,273,430,67,29,46,8,1,0,907
"APRIL 8, 2020",49,345,393,86,32,46,7,3,4,965
"APRIL 9, 2020",43,318,433,59,35,40,8,6,3,945
"APRIL 10, 2020",68,370,409,85,40,47,11,3,5,1038
"APRIL 11, 2020",43,205,246,71,33,44,8,0,8,658
"APRIL 12, 2020",39,217,313,64,34,57,6,1,3,734
"APRIL 13, 2020",65,266,408,58,43,43,15,0,5,903
"APRIL 14, 2020",42,226,241,54,33,46,15,1,4,662
"APRIL 15, 2020",42,306,394,76,42,72,14,0,12,958
"APRIL 16, 2020",52,187,278,71,40,63,17,0,1,709
"APRIL 17, 2020",59,166,292,59,34,58,14,0,3,685
"APRIL 18, 2020",40,80,116,39,29,57,38,1,5,405
"APRIL 19, 2020",32,102,209,50,24,39,2,2,5,465
"APRIL 20, 2020",61,115,275,40,38,44,7,0,3,583
"APRIL 21, 2020",42,193,290,67,23,83,6,4,0,708
"APRIL 22, 2020",23,172,388,46,113,72,5,1,8,828
"APRIL 23, 2020",30,247,381,52,153,57,6,3,2,931
"APRIL 24, 2020",19,233,287,33,107,79,7,0,10,775
"APRIL 25, 2020",3,31,33,1,21,2,2,0,0,93
